record_id,seller,raw_product_name,raw_description,canonical_name,species_group,category,treatment,expected_size_hint,best_alias,alias_variant,ambiguity_level,manual_review_recommended,normalization_note,source_type,source_url
LLX-0011,84 Lumber,SPRUCE/PINE/FIR 4 x 4 x 8 Select,Seller-style listing for SPRUCE/PINE/FIR 4 x 4 x 8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,4x4x8,Spruce/Pine/Fir,SPRUCE/PINE/FIR,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0012,Menards,SPF Stud 1x4x8 #2,Seller-style listing for SPF Stud 1x4x8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x4x8,SPF Stud,SPF Stud,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0013,Local Yard,SPF STUD 15/32x4x8 Select,Seller-style listing for SPF STUD 15/32x4x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,15/32x4x8,SPF Stud,SPF STUD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0014,Independent Lumberyard,SPFStud 2x4x10 Common Lumber,Seller-style listing for SPFStud 2x4x10 Common Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x10,SPF Stud,SPFStud,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0015,Builder Supply,SPF LUMBER 2x6x8 Select,Seller-style listing for SPF LUMBER 2x6x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x8,SPF Lumber,SPF LUMBER,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0016,Contractor Catalog,spf lumber 4x4x8 Common,Seller-style listing for spf lumber 4x4x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,4x4x8,SPF Lumber,spf lumber,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0017,Vendor Price Sheet,SPF-Lumber 3/4x4x8 KD,Seller-style listing for SPF-Lumber 3/4x4x8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,3/4x4x8,SPF Lumber,SPF-Lumber,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0018,ERP Legacy Import,SPF KD 15/32x4x8 Common,Seller-style listing for SPF KD 15/32x4x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,15/32x4x8,SPF KD,SPF KD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0019,Home Depot,SPF-KD 2x4x10 KD,Seller-style listing for SPF-KD 2x4x10 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x10,SPF KD,SPF-KD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0020,Menards,SPFKD 2x10x12 #2,Seller-style listing for SPFKD 2x10x12 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x10x12,SPF KD,SPFKD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0021,Lowes,SPF-S4S 4x4x8 KD Lumber,Seller-style listing for SPF-S4S 4x4x8 KD Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,4x4x8,SPF S4S,SPF-S4S,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0022,84 Lumber,spf s4s 3/4 x 4 x 8 #2,Seller-style listing for spf s4s 3/4 x 4 x 8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,3/4x4x8,SPF S4S,spf s4s,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0023,Builder Supply,SPF S4S 2x4x92-5/8 Select,Seller-style listing for SPF S4S 2x4x92-5/8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x92-5/8,SPF S4S,SPF S4S,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0024,Local Yard,WHITEWOOD 2x4x10 #2,Seller-style listing for WHITEWOOD 2x4x10 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x10,Whitewood,WHITEWOOD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0025,Independent Lumberyard,whitewood 2x10x12 Select,Seller-style listing for whitewood 2x10x12 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x10x12,Whitewood,whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0026,ERP Legacy Import,Whitewood 5/4x6x12 Common,Seller-style listing for Whitewood 5/4x6x12 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,5/4x6x12,Whitewood,Whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0027,Contractor Catalog,WhiteWood 3/4x4x8 Select,Seller-style listing for WhiteWood 3/4x4x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,3/4x4x8,White Wood,WhiteWood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0028,Vendor Price Sheet,white wood 2x4x92-5/8 Common Lumber,Seller-style listing for white wood 2x4x92-5/8 Common Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x92-5/8,White Wood,white wood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0029,Lowes,White-Wood 2x8x10 KD,Seller-style listing for White-Wood 2x8x10 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x8x10,White Wood,White-Wood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0030,Home Depot,WHITEWOOD STUD 2x10x12 Common,Seller-style listing for WHITEWOOD STUD 2x10x12 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x10x12,Whitewood Stud,WHITEWOOD STUD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0031,Menards,whitewood stud 5/4x6x12 KD,Seller-style listing for whitewood stud 5/4x6x12 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,5/4x6x12,Whitewood Stud,whitewood stud,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0032,Local Yard,White Wood Stud 2x4x8 #2,Seller-style listing for White Wood Stud 2x4x8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x8,Whitewood Stud,White Wood Stud,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0033,84 Lumber,Construction Whitewood 2 x 4 x 92-5/8 KD,Seller-style listing for Construction Whitewood 2 x 4 x 92-5/8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x92-5/8,Construction Whitewood,Construction Whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0034,Builder Supply,CONSTRUCTION WHITEWOOD 2x8x10 #2,Seller-style listing for CONSTRUCTION WHITEWOOD 2x8x10 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x8x10,Construction Whitewood,CONSTRUCTION WHITEWOOD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0035,Contractor Catalog,Construction-Whitewood 1x6x8 Select Lumber,Seller-style listing for Construction-Whitewood 1x6x8 Select Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x6x8,Construction Whitewood,Construction-Whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0036,Independent Lumberyard,WhitewoodFramingLumber 5/4x6x12 #2,Seller-style listing for WhitewoodFramingLumber 5/4x6x12 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,5/4x6x12,Whitewood Framing Lumber,WhitewoodFramingLumber,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0037,ERP Legacy Import,Whitewood Framing Lumber 2x4x8 Select,Seller-style listing for Whitewood Framing Lumber 2x4x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x8,Whitewood Framing Lumber,Whitewood Framing Lumber,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0038,Home Depot,whitewood framing lumber 2x6x12 Common,Seller-style listing for whitewood framing lumber 2x6x12 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x12,Whitewood Framing Lumber,whitewood framing lumber,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0039,Vendor Price Sheet,Canadian-Whitewood 2x8x10 Select,Seller-style listing for Canadian-Whitewood 2x8x10 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x8x10,Canadian Whitewood,Canadian-Whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0040,Lowes,Canadian Whitewood 1x6x8 Common,Seller-style listing for Canadian Whitewood 1x6x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x6x8,Canadian Whitewood,Canadian Whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0041,84 Lumber,canadian whitewood 7/16x4x8 KD,Seller-style listing for canadian whitewood 7/16x4x8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,7/16x4x8,Canadian Whitewood,canadian whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0042,Menards,StudGradeWhitewood 2x4x8 Common Lumber,Seller-style listing for StudGradeWhitewood 2x4x8 Common Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x4x8,Stud Grade Whitewood,StudGradeWhitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0043,Local Yard,STUD GRADE WHITEWOOD 2x6x12 KD,Seller-style listing for STUD GRADE WHITEWOOD 2x6x12 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x12,Stud Grade Whitewood,STUD GRADE WHITEWOOD,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0044,Independent Lumberyard,Stud Grade Whitewood 1 x 4 x 8 #2,Seller-style listing for Stud Grade Whitewood 1 x 4 x 8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x4x8,Stud Grade Whitewood,Stud Grade Whitewood,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0045,Builder Supply,SPF-#2&BTR 1x6x8 KD,Seller-style listing for SPF-#2&BTR 1x6x8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x6x8,SPF #2&BTR,SPF-#2&BTR,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0046,Contractor Catalog,SPF#2&BTR 7/16x4x8 #2,Seller-style listing for SPF#2&BTR 7/16x4x8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,7/16x4x8,SPF #2&BTR,SPF#2&BTR,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0047,Vendor Price Sheet,SPF #2&BTR 2x6x8 Select,Seller-style listing for SPF #2&BTR 2x6x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x8,SPF #2&BTR,SPF #2&BTR,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0048,ERP Legacy Import,SPF #2 Better 2x6x12 #2,Seller-style listing for SPF #2 Better 2x6x12 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x12,SPF #2 Better,SPF #2 Better,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0049,Home Depot,SPF #2 BETTER 1x4x8 Select Lumber,Seller-style listing for SPF #2 BETTER 1x4x8 Select Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x4x8,SPF #2 Better,SPF #2 BETTER,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0050,Menards,SPF-#2-Better 15/32x4x8 Common,Seller-style listing for SPF-#2-Better 15/32x4x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,15/32x4x8,SPF #2 Better,SPF-#2-Better,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0051,Lowes,SPF No 2 7/16x4x8 Select,Seller-style listing for SPF No 2 7/16x4x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,7/16x4x8,SPF No 2,SPF No 2,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0052,84 Lumber,SPFNo2 2x6x8 Common,Seller-style listing for SPFNo2 2x6x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x8,SPF No 2,SPFNo2,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0053,Builder Supply,spf no 2 4x4x8 KD,Seller-style listing for spf no 2 4x4x8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,4x4x8,SPF No 2,spf no 2,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0054,Local Yard,SPF Prime 1x4x8 Common,Seller-style listing for SPF Prime 1x4x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x4x8,SPF Prime,SPF Prime,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0055,Independent Lumberyard,SPF PRIME 15/32 x 4 x 8 KD,Seller-style listing for SPF PRIME 15/32 x 4 x 8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,15/32x4x8,SPF Prime,SPF PRIME,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
